Campaign Name,Account: Employees,Client PAL User,Account: Account Name,Account: Email Domain,Account: Website,Account: Revenue ($mil),Account: Vertical,Account: Main Phone,Account: Billing Street,Account: Billing City,Account: Billing State/Province,Account: Billing Country,Account: DUNS,Status,Account: Primary US NAICS Code,Account: Hoovers Last Refreshed Days,Account: Linked-In Last Refreshed Days,Campaign Account: ID,Account: Account ID,Campaign ID
Danlaw 2019 Q4 - Connected Security - A1,50,Ray Alvarado,Atlantic Energy,atlanticenergyco.com,http://www.atlanticenergyco.com,0.42,Natural Gas Distribution & Marketing,800-917-9133,50 Broadway Fl 27,New York,New York,United States,969850218,Active EMX,221210,223,108,a071O000014UHZ0,0011400001laVSz,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,117,Ray Alvarado,Atronic Alarms,atronicalarms.com,http://Atronicalarms.Com,72.2,Electrical Products Wholesalers,8951800,5070 S 136th St,Omaha,NE,United States,,Active EMX,42361063,230,264,a071O000016y1mF,0011400001uNr27,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,42,Ray Alvarado,August Home,augusthome.com,http://www.august.com,5.5,Real Estate,415-891-0866,657 Bryant St,San Francisco,California,United States,079207610,Active EMX,444130,637,243,a071O000014UHZ1,0011400001fUL5h,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,46,Ray Alvarado,Automation Engineering,teamaec.com,http://Autoeng.Com,4.02,Engineering Services,4848519,1415 Profit Dr,Fort Wayne,IN,United States,780046447,Active EMX,54133011,599,108,a071O000014UHZ2,0011400001aKyfT,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,100,Ray Alvarado,Awair,getawair.com,http://www.getawair.com,0,Consumer Services,,,San Francisco,California,United States,,Active EMX,,,281,a071O000014UHZ3,0011O00001zqnFY,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Barsys,thebarsys.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZ4,0011O00002I6GiW,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Bayit,bayithomeautomation.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZ5,0011O00002I6GiX,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Behome247,behome247.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZ6,0011O00002I6GiY,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Bellwether Research Institute,bellwether-institute.net,,0,,,,,,,,Active EMX,,,108,a071O000014UHZ8,0011O00002I6GiZ,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,100,Ray Alvarado,Blokable,blokable.com,http://www.blokable.com,0,Real Estate & Construction,+1 800-928-6778,1136 Poplar Pl S,Vancouver,Washington,United States,010018920,Active EMX,321992,,278,a071O000016y1mG,0011O000026WiLG,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,BLU Corporate Housing,blucorporatehousing.com,,0,,,,,,,,Active EMX,,,108,a071O000016y1mH,0011O00002I6Gib,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Brava Home,brava.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZ9,0011O00002I6Gih,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,62400,Ray Alvarado,Brink's,brinksinc.com,http://Brinks.Com,3488.9,Armored Vehicle Services,2899600,PO Box 18100,Richmond,VA,United States,,Remove,56161301,262,59,a071O000014UHZA,0011400001bU3lA,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,250,Ray Alvarado,Buildzoom,buildzoom.com,http://www.buildzoom.com,1000000,Real Estate & Construction,+1 978-667-9252,301 Howard St.,San Francisco,California,United States,,Active EMX,,,417,a071O000014UHZB,0011O00002857bY,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,25,Ray Alvarado,Bumblebee Spaces,bumblebeespaces.com,http://www.bumblebeespaces.com,0,Real Estate & Construction,,,San Francisco,California,United States,,Active EMX,,,364,a071O000014UHZC,0011O000029ogyT,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,70,Ray Alvarado,Canary,golfgps.com,http://Canaryusa.Com,13.94,Integrated Telecommunication Services,5727001,2438 Highway 85 N,Williston,ND,United States,969959944,Active EMX,21311202,262,112,a071O000014UHZD,0011400001bDfGZ,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Caseta By Lutron,lutron.com,,0,,,,,,,,Active EMX,,,108,a071O000016y1mI,0011O00002I6Gil,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,8,Ray Alvarado,Cello Technologies Seattle,celloseattle.com,http://www.celloseattle.com,0,,206-256-0900,2633 Eastlake Ave E Ste 99,Seattle,Washington,United States,868442463,Active EMX,236115,,108,a071O000014UHZE,0011O00002CNHme,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Cherry Home,cherryhome.ai,,0,,,,,,,,Active EMX,,,108,a071O000014UHZF,0011O00002I6Gio,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,100,Ray Alvarado,Cielo Wigle,cielowigle.com,https://www.cielowigle.com,0,Computers & Electronics,+1 425-529-5775,17252 NE 119th WAY,Redmond,WA,United States,,Active EMX,,,281,a071O000014UHZG,0011O00001zqnNd,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Cliqk,cliqk.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZH,0011O00002I6Giq,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Comoli,comoli.jp,http://comoli.com/,0,,,,M65533;65533;laga y alrededores,,United States,,Active EMX,,,108,a071O000014UHZI,0011O00001zqm4w,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,999,Ray Alvarado,Control4,control4.com,www.control4.com,250,Consumer Goods and Services,Melbourne,11734 S Election Rd,Melbourne,Utah,United States,142606370,Active EMX,334419,363,112,a071O000014UHZJ,0013000000euwv6,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,7,Ray Alvarado,Crows Nest,,http://www.crowsnestohio.com,0.09,Restaurants,1-615-708-480,2170 N Buck Rd,Nashville,Tennessee,United States,135835320,Active EMX,722511,183,196,a071O000014UHZK,0011400001iWC3G,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,600,Ray Alvarado,CUB Cadet,cubcadet.com,http://Cubcadet.Com,125.41,,2252600,5965 Grafton Rd,Valley City,OH,,,Active EMX,33311205,,108,a071O000014UHZL,0011O00002I6Giy,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Cytiot,cytiot.com,www.cytiot.com,0,,650.466.7011,"1900 South Norfolk Street, Suite 350",San Mateo,CA,United States,,Active EMX,,,108,a071O000016y1mJ,0011400001s9NpD,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Devcon Security Services,devconhomesecurity.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZM,0011O00002I6Gj2,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,60,Ray Alvarado,DOOR Com,thisisdoor.com,http://www.door.com,2,,-5318,14675 Dallas Pkwy Ste 600,Dallas,Texas,United States,015760660,Active EMX,531210,209,204,a071O000014UHZN,0011O000023mOwY,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,75,Ray Alvarado,Dream Finders Homes,dreamfindershomes.com,http://www.dreamfindershomes.com,32,Education,+1 904-644-7670,12428 San Jose Boulevard,Jacksonville,Florida,United States,969006712,Active EMX,236116,223,208,a071O000014UHZO,0011O00002644vN,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,DROP,earnwithdrop.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZP,0011O00002857tM,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,250,Ray Alvarado,Dvele,dvele.com,www.dvele.com,0,Real Estate & Construction,5005001000,2201 Market St,San Francisco,California,United States,081128495,Active EMX,321991,655,231,a071O000014UHZQ,0011O000022bZm4,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Dwelo,dwelo.com,http://www.dwelo.com,0,,415.582.6701,769 North 1890 West #12,Provo,UT,United States,,Active EMX,,,108,a071O000014UHZR,0011400001s9Nsn,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,100,Ray Alvarado,Earth Tech,earthtech.com,www.earthtech.com,35,Engineering Services,-9721,300 Oceangate Ste 700,Land O Lakes,Florida,United States,051622272,Active EMX,541330,251,252,a071O000016y1mK,0011400001abGWp,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,EAST Point Systems,eastpointsystems.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZS,0011O00002I6Gj7,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,1000,Ray Alvarado,Ecobee,ecobee.com,www.ecobee.com,10000000,Computers & Electronics,+1 877-932-6233,250 University Avenue,Toronto,ON,Canada,243738403,PAL Remove,423730,347,243,a071O000016y1mL,0011400001hMwFD,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,100,Ray Alvarado,Ecolink Intelligent Technology,discoverecolink.com,http://www.discoverecolink.com,10000000,Manufacturing,8554326546,2055 Corte Del Nogal,Carlsbad,California,United States,025112404,Active EMX,334310,,658,a071O000016y1mM,0011O000022YvMJ,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Ecovent,ecoventsystems.com,www.ecoventsystems.com,0,,,,Boston,MA,United States,,Active EMX,,1529,108,a071O000014UHZT,0011400001jC7lz,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,250,Ray Alvarado,EH Publishing,ehpub.com,www.ehpub.com,250000000,Media & Entertainment,+1 508-663-1500,111 Speen St Ste 200,Framingham,Massachusetts,United States,829417179,Active EMX,511199,198,440,a071O000014UHZU,001a000001L70pe,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,250,Ray Alvarado,Essential,essential.com,http://www.essential.com,10000000,Computers & Electronics,+1 781-229-9599,1 Burlington Woods Drive,Burlington,MA,United States,080537288,Active EMX,541511,843,260,a071O000014UHZV,0011O00001z06Sf,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,20,Ray Alvarado,EVE Com,eveinc.org,,0.9,,517-372-5572,1221 N Grand River Ave,Lansing,MI,United States,613721307,Active EMX,624190,1178,108,a071O000014UHZW,0011400001rYCbk,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,7,Ray Alvarado,Evolve Energy,,,0.09,,,1410 Roswell Manor Cir,Roswell,Georgia,United States,047732413,Active EMX,999990,,108,a071O000014UHZX,0011O00002H1hvt,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,2,Ray Alvarado,FAIR Market,fairmarketinc.com,http://Fairmarketinc.Com,3.61,Food Wholesalers,8376671,10458 National Blvd,Los Angeles,CA,United States,152201612,Active EMX,42442005,1255,123,a071O000014UHZY,0011400001l1WxD,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,30,Ray Alvarado,Fieldcentrix,fieldcentrix.com,http://www.fieldcentrix.com,2.4,Computer Software,949-784-5000,8 Hughes,Irvine,California,United States,007570567,Active EMX,511210,592,108,a071O000014UHZZ,0013000000hRD6n,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Flume,flumetech.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZa,0011O00002I6GjH,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,1000,Ray Alvarado,Frontpoint,frontpointsecurity.com,http://www.frontpointsecurity.com,250000000,Computers & Electronics,+1 866-960-6301,1595 Spring Hill Road Suite 110,Vienna,VA,United States,,Active EMX,,,243,a071O000014UHZb,0011O00002EarBW,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Garageio,garageio.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZc,0011O00002I6GjK,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Garbi,garbican.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZd,0011O00002I6GjL,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Gartenzwerg Technologies,gartenzwerg.me,,0,,,,,,,,Active EMX,,,108,a071O000014UHZe,0011O00002I6GjM,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,1000,Ray Alvarado,Greenwave Systems,greenwavesystems.com,http://www.greenwavesystems.com,50000000,Software & Internet,+1 949-460-2000,"GreenWave Reality, Inc. 133 Technology, Suite 200",Irvine,California,United States,305110600,PAL Remove,518210,461,,a071O000014UHZf,0011O000027W1c5,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,1500,Ray Alvarado,Guardian,guardian.co.uk,http://www.hardees.com,56,"Travel, Recreation, and Leisure",1-252-443-4101,Longbridge Road,Rocky Mount,North Carolina,United States,215824452,Active EMX,511110,349,293,a071O000014UHZg,0011400001vjBA6,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Hampton Brinks Home Security,brinkshome.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZh,0011O00002I6GjU,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,1,Ray Alvarado,Handyman,handymanokcok.com,http://www.handymanokcok.com,0.03,,405-885-1058,1324 Sw 20Th St,Oklahoma City,Oklahoma,United States,065055033,Active EMX,812990,601,108,a071O000016y1mN,0011O000023SqZm,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,HEMP Shield Wood Finish and Deck Sealer,hempshield.net,,0,,,,,,,,Active EMX,,,108,a071O000014UHZi,0011O00002I6GjX,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,HEMS Technology,hemstech.com,http://www.hemstech.com,0,,,,Dallas/Fort Worth,,United States,,Active EMX,,,108,a071O000014UHZj,0011O00001zqnRW,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Hogar Controls,hogarcontrols.com,,0,,,,,,,,Active EMX,,,108,a071O000016y1mO,0011O00002I6GjZ,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Homeation,homeation.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZk,0011O00002I6Gjc,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,10000,Ray Alvarado,Honeywell,honeywell.com,http://Buildingsolutions.Honeywell.Com,5000,Software and Technology,9511000,1985 Douglas Dr N,Minneapolis,MN,United States,,Active EMX,33399901,271,213,a071O000014UHZl,0013000000Kxp6u,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Houzz,houzz.com,www.houzz.com,0,,(650) 326-3000,285 Hamilton Avenue,Palo Alto,CA,United States,,Active EMX,,,112,a071O000014UHZm,0011O00002HgGbq,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,140,Ray Alvarado,Hunter,hunterchevrolet.com,http://www.huntersubaru.com,67.41,Automobile Dealers,888-452-1519,2520 Asheville Hwy,Hendersonville,North Carolina,United States,024618852,Active EMX,441110,230,108,a071O000016y1mP,0013000000ekS2d,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Hygge Power,hyggepower.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZn,0011O00002I6Gji,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,IKOS,meetikos.com,http://www.meetikos.com,0,,,,Pittsburgh,,United States,,Active EMX,,,108,a071O000014UHZo,0011O00001xoudq,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Infolink-Exp,infolinksa.com,http://www.infolink-exp.com,0,,,,Chihuahua y alrededores,,United States,,Active EMX,,,108,a071O000014UHZp,0011O00001zqmZS,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Inirv,inirv.com,,0,,,,,,,,Active EMX,,,108,a071O000014UHZq,0011O00002I6Gjn,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,250,Ray Alvarado,Inspire,helloinspire.com,clinicahealth.com,0,Health & Wellness,+1 866-403-2620,3402 Pico Blvd Ste 215,Pacific Palisades,California,United States,079094281,Active EMX,221122,240,199,a071O000016y1mQ,0011O00002Ed8Z6,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Inspirit Iot,inspirit-iot.com,www.inspirit-iot.com,0,,,,Champaign,,United States,,Active EMX,,,108,a071O000016y1mR,0011O00001xounV,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,25,Ray Alvarado,Internet of Things Consortium,iofthings.org,http://www.iofthings.org,0,Other,,665 3rd Street,New York City,California,United States,,Active EMX,,1830,1239,a071O000016y1mS,001a000001YcxKZ,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Invergo Coffee,invergocoffee.com,,0,,,,,,,,Active EMX,,,108,a071O000016y1mT,0011O00002I6Gjr,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Invocable,invocable.com,www.invocable.com,0,,,,,,United States,,Active EMX,,,108,a071O000014UHZr,0011O000029ohDP,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,Iobridge,iobridge.com,http://www.iobridge.com,0,,508-630-2165,"225 Cedar Hill Street, Suite 200",Marlborough,MA,United States,,Active EMX,,,108,a071O000014UHZs,0011400001sAOg4,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,100,Ray Alvarado,Ipdatatel,ipdatatel.com,http://www.ipdatatel.com,50000000,Business Services,7134522728,13110 Southwest Freeway,Sugar Land,Texas,United States,,Active EMX,,1586,1300,a071O000014UHZt,0011400001ct4Zl,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Isowalk,isowalk.com,http://isowalk.com,0,,,,West Hollywood,,United States,,Active EMX,,,108,a071O000016y1mU,0011O00001zqlYn,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,JOSH Ai,josh.ai,,0,,,,,,,,Active EMX,,,108,a071O000014UHZu,0011O00002I6Gjs,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,500,Ray Alvarado,JR Automation Technologies,epochrobotics.com,http://Jrautomation.Com,200,Metalworking Machinery Manufacturing,3992168,13365 Tyler St,Holland,MI,United States,,Active EMX,33331846,230,209,a071O000014UHZv,0011400001eyU9q,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,0,Ray Alvarado,KAA Iot,kaaiot.io,,0,,,,,,,,Active EMX,,,108,a071O000014UHZw,0011O00002I6Gju,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,100,Ray Alvarado,KEEN Home,keenhome.io,www.keenhome.io,1000000,Computers & Electronics,+1 312-504-4061,"137 Varick St, 2nd Floor",New York,New York,United States,079399525,Active EMX,334512,,112,a071O000016y1mV,0011O000022mmpU,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,7758,Ray Alvarado,Kidde,kidde.com,www.kidde.com,1041.56,Management of Companies & Enterprises,44-0175-3766392,Mathisen Way,Slough,Berkshire,United States,220366954,Active EMX,551112,1477,108,a071O000016y1mW,0013000000LARRx,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Konnected,konnected.io,,0,,,,,,,,Active EMX,,,108,a071O000016y1mX,0011O00002I6Gjz,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Kooltechs,kooltechs.com,,0,,,,,,,,Active EMX,,,108,a071O000016y1mY,0011O00002I6Gk0,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - A1,375,Ray Alvarado,KWIK Set,kwikset.com,http://Kwikset.Com,105.15,Business Services,4631313,2600 N State Highway 91,Denison,TX,United States,,Active EMX,33251019,906,281,a071O000014UHZx,0013000000Kxmxm,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,250,Ray Alvarado,Latch,latch.com,www.latch.com,0,Software & Internet,+1 646-828-9974,,New York,New York,United States,,Active EMX,,,112,a071O000014UHZy,0011O000029oiPx,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,5759,Ray Alvarado,Leviton,leviton.com,,0.1,,(631) 812-6000,10196 Harmony Cir,Eden Prairie,Minnesota,United States,075425091,Active EMX,3343,,108,a071O000014UHZz,0011O000022mR2g,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,24,Ray Alvarado,LEXI,lexi.com,,2.99,,353944833,"2-11-1, Sugamo",Toshima-Ku,Tokyo,Japan,697449465,Active EMX,541511,257,108,a071O000014UHa0,0011O00002Dtr9T,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - A1,10,Ray Alvarado,LIFE Ai,life.ai,,0.15,,720-401-7034,3000 Lawrence St,Denver,Colorado,United States,064768929,PAL Remove,541511,,108,a071O000014UHa1,0011O00002HGFeR,7011O000003Ch5h
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Lifedoor,lifedoor.io,,0,,,,,,,,Active EMX,,,108,a071O000016y1mZ,0011O00002I6Gk5,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,Lifetone Technology,lifetonesafety.com,http://lifetonesafety.com,0,,,,Oklahoma City,,United States,,Active EMX,,,108,a071O000016y1ma,0011O00001zqo0J,7011O000003Cyxk
Danlaw 2019 Q4 - Connected Security - B1,0,Ray Alvarado,LIFX,lifx.co,www.lifx.com,0,,14152601975,,,,,,Active EMX,,,108,a071O000016y1mb,0011O00002I6Gk6,7011O000003Cyxk
